"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0002683","BP","GO:0002683","negative regulation of immune system process","9/94","434/18723",0.000331901099094988,0.00599496360240323,0.00471960867416088,"MAFB/MNDA/TYROBP/LAPTM5/GBP1/FCGR2B/CD86/SLAMF8/TREM2",9
"GO:0072678","BP","GO:0072678","T cell migration","4/94","66/18723",0.000338420006235452,0.00605861657180813,0.00476972025555881,"MSN/CXCL10/CXCL11/CCL20",4
"GO:0002688","BP","GO:0002688","regulation of leukocyte chemotaxis","5/94","122/18723",0.000373873637345105,0.00663461726622058,0.00522318387168184,"CXCL10/CCL4/C5AR1/SLAMF8/DAPK2",5
"GO:0007585","BP","GO:0007585","respiratory gaseous exchange by respiratory system","4/94","68/18723",0.000379487398419569,0.00667567832176337,0.0052555096916138,"MAFB/DACH1/TRAF4/HNMT",4
"GO:0051480","BP","GO:0051480","regulation of cytosolic calcium ion concentration","8/94","353/18723",0.000401175462823753,0.00699636173527977,0.00550797164475806,"CXCL10/CXCL11/CXCL9/FPR3/C5AR1/FPR1/TRPM4/LIME1",8
"GO:0006874","BP","GO:0006874","cellular calcium ion homeostasis","9/94","448/18723",0.000418164124893921,0.00716903410729154,0.0056439100888894,"CCL8/CXCL10/CXCL11/CXCL9/FPR3/C5AR1/FPR1/TRPM4/LIME1",9
"GO:0022407","BP","GO:0022407","regulation of cell-cell adhesion","9/94","448/18723",0.000418164124893921,0.00716903410729154,0.0056439100888894,"ITGB2/LAPTM5/HLA-DPB1/HLA-DRA/HLA-DPA1/FCGR2B/CD86/HLA-DQA1/MYB",9
"GO:0002381","BP","GO:0002381","immunoglobulin production involved in immunoglobulin-mediated immune response","4/94","70/18723",0.000424000323332437,0.00720800549665144,0.00567459079347172,"HLA-DPB1/HLA-DRA/HLA-DPA1/HLA-DQA1",4
"GO:0050858","BP","GO:0050858","negative regulation of antigen receptor-mediated signaling pathway","3/94","30/18723",0.000450974894829193,0.00760268510199549,0.00598530715681202,"LAPTM5/GBP1/FCGR2B",3
"GO:0050864","BP","GO:0050864","regulation of B cell activation","6/94","198/18723",0.000487846671298274,0.00815631252922652,0.00642115714375197,"MNDA/TYROBP/LAPTM5/FCGR2B/SLAMF8/ZFP36L2",6
"GO:0055074","BP","GO:0055074","calcium ion homeostasis","9/94","460/18723",0.000506115556327711,0.00839239156107343,0.00660701325904941,"CCL8/CXCL10/CXCL11/CXCL9/FPR3/C5AR1/FPR1/TRPM4/LIME1",9
"GO:0019722","BP","GO:0019722","calcium-mediated signaling","6/94","202/18723",0.000542140015811448,0.00891666058525657,0.00701975048286453,"GBP1/CCL4/TREM2/CCL20/TRPM4/RCAN3",6
"GO:0043372","BP","GO:0043372","positive regulation of CD4-positive, alpha-beta T cell differentiation","3/94","32/18723",0.000546957231302334,0.00892334257197276,0.00702501095891708,"HLA-DRA/CD86/MYB",3
"GO:0002292","BP","GO:0002292","T cell differentiation involved in immune response","4/94","75/18723",0.00055142303196622,0.00892423034934131,0.00702570987254645,"FCER1G/HLA-DRA/CD86/MYB",4
"GO:0022409","BP","GO:0022409","positive regulation of cell-cell adhesion","7/94","284/18723",0.000570307993617471,0.00914969142028442,0.00720320686780463,"ITGB2/HLA-DPB1/HLA-DRA/HLA-DPA1/CD86/HLA-DQA1/MYB",7
"GO:0002705","BP","GO:0002705","positive regulation of leukocyte mediated immunity","5/94","134/18723",0.000574399807402927,0.00914969142028442,0.00720320686780463,"ITGB2/TYROBP/HLA-DRA/RSAD2/TREM2",5
"GO:0046651","BP","GO:0046651","lymphocyte proliferation","7/94","288/18723",0.000619516420314334,0.0097912634241867,0.00770829230210187,"MNDA/TYROBP/HLA-DPB1/MSN/HLA-DPA1/FCGR2B/CD86",7
"GO:0071222","BP","GO:0071222","cellular response to lipopolysaccharide","6/94","209/18723",0.000648361645338842,0.0101677178955076,0.00800466070499933,"LY96/CXCL10/CXCL11/CXCL9/CXCL5/CD86",6
"GO:0032943","BP","GO:0032943","mononuclear cell proliferation","7/94","291/18723",0.000658592851283531,0.0102110796296615,0.00803879776240491,"MNDA/TYROBP/HLA-DPB1/MSN/HLA-DPA1/FCGR2B/CD86",7
"GO:0050866","BP","GO:0050866","negative regulation of cell activation","6/94","210/18723",0.000664766606406965,0.0102110796296615,0.00803879776240491,"MNDA/TYROBP/LAPTM5/FCGR2B/CD86/TREM2",6
"GO:0051279","BP","GO:0051279","regulation of release of sequestered calcium ion into cytosol","4/94","79/18723",0.000671316653853179,0.0102110796296615,0.00803879776240491,"CXCL10/CXCL11/CXCL9/LIME1",4
"GO:0061844","BP","GO:0061844","antimicrobial humoral immune response mediated by antimicrobial peptide","4/94","79/18723",0.000671316653853179,0.0102110796296615,0.00803879776240491,"CXCL10/CXCL11/CXCL9/CXCL5",4
"GO:2000403","BP","GO:2000403","positive regulation of lymphocyte migration","3/94","35/18723",0.000713923807271644,0.0107781183739592,0.00848520597330712,"CXCL10/CCL4/CCL20",3
"GO:0050921","BP","GO:0050921","positive regulation of chemotaxis","5/94","141/18723",0.00072357238814465,0.0108428662312343,0.00853617951861875,"CXCL10/CCL4/C5AR1/TREM2/DAPK2",5
"GO:0051651","BP","GO:0051651","maintenance of location in cell","6/94","214/18723",0.000733631737373583,0.010912772093432,0.00859121376661169,"S100A8/SRGN/CXCL10/CXCL11/CXCL9/LIME1",6
"GO:0002377","BP","GO:0002377","immunoglobulin production","6/94","216/18723",0.000770071980037499,0.0112888088088106,0.00888725328601629,"HLA-DPB1/HLA-DRA/HLA-DPA1/FCGR2B/CD86/HLA-DQA1",6
"GO:0050870","BP","GO:0050870","positive regulation of T cell activation","6/94","216/18723",0.000770071980037499,0.0112888088088106,0.00888725328601629,"HLA-DPB1/HLA-DRA/HLA-DPA1/CD86/HLA-DQA1/MYB",6
"GO:0043367","BP","GO:0043367","CD4-positive, alpha-beta T cell differentiation","4/94","83/18723",0.000808605459429958,0.0116843488887629,0.00919864706855283,"HLA-DRA/CD86/RSAD2/MYB",4
"GO:0050672","BP","GO:0050672","negative regulation of lymphocyte proliferation","4/94","83/18723",0.000808605459429958,0.0116843488887629,0.00919864706855283,"MNDA/TYROBP/FCGR2B/CD86",4
"GO:0045730","BP","GO:0045730","respiratory burst","3/94","37/18723",0.000841418209530799,0.012049697015718,0.0094862718655365,"NCF2/SLAMF8/TREM2",3
"GO:0032945","BP","GO:0032945","negative regulation of mononuclear cell proliferation","4/94","84/18723",0.000845801767786434,0.012049697015718,0.0094862718655365,"MNDA/TYROBP/FCGR2B/CD86",4
"GO:0002709","BP","GO:0002709","regulation of T cell mediated immunity","4/94","85/18723",0.000884189459590992,0.0125084984388292,0.00984746891690225,"HLA-DRA/FCGR2B/RSAD2/TRPM4",4
"GO:0050920","BP","GO:0050920","regulation of chemotaxis","6/94","223/18723",0.000908755303569266,0.0126993114795389,0.00999768882511243,"CXCL10/CCL4/C5AR1/SLAMF8/TREM2/DAPK2",6
"GO:0009595","BP","GO:0009595","detection of biotic stimulus","3/94","38/18723",0.000910232409556667,0.0126993114795389,0.00999768882511243,"LY96/TREM2/DACH1",3
"GO:0006909","BP","GO:0006909","phagocytosis","7/94","308/18723",0.00091858595408366,0.012728077980214,0.0100203356058297,"NCF2/ITGB2/TYROBP/FCER1G/MARCO/FCGR2B/TREM2",7
"GO:0050670","BP","GO:0050670","regulation of lymphocyte proliferation","6/94","225/18723",0.000951711351610857,0.0130973609816923,0.0103110581810757,"MNDA/TYROBP/HLA-DPB1/HLA-DPA1/FCGR2B/CD86",6
"GO:0045622","BP","GO:0045622","regulation of T-helper cell differentiation","3/94","39/18723",0.00098251586173262,0.0133397958945308,0.0105019180416917,"HLA-DRA/CD86/MYB",3
"GO:2000516","BP","GO:2000516","positive regulation of CD4-positive, alpha-beta T cell activation","3/94","39/18723",0.00098251586173262,0.0133397958945308,0.0105019180416917,"HLA-DRA/CD86/MYB",3
"GO:0019932","BP","GO:0019932","second-messenger-mediated signaling","7/94","312/18723",0.000990169712455802,0.0133466505494922,0.0105073144529395,"GBP1/CCL4/TREM2/FPR1/CCL20/TRPM4/RCAN3",7
"GO:0032944","BP","GO:0032944","regulation of mononuclear cell proliferation","6/94","227/18723",0.000996215636665015,0.0133466505494922,0.0105073144529395,"MNDA/TYROBP/HLA-DPB1/HLA-DPA1/FCGR2B/CD86",6
"GO:0051281","BP","GO:0051281","positive regulation of release of sequestered calcium ion into cytosol","3/94","40/18723",0.00105833544262275,0.0140856092133278,0.0110890687305278,"CXCL10/CXCL11/CXCL9",3
"GO:0006959","BP","GO:0006959","humoral immune response","7/94","317/18723",0.00108575898294365,0.0143561465522549,0.0113020525709924,"CXCL10/TREM1/CXCL11/CXCL9/CXCL5/FCGR2B/TREM2",7
"GO:1902622","BP","GO:1902622","regulation of neutrophil migration","3/94","41/18723",0.00113775679374743,0.0146983845713005,0.0115714836518863,"C5AR1/SLAMF8/DAPK2",3
"GO:1905521","BP","GO:1905521","regulation of macrophage migration","3/94","41/18723",0.00113775679374743,0.0146983845713005,0.0115714836518863,"C5AR1/SLAMF8/TREM2",3
"GO:0046631","BP","GO:0046631","alpha-beta T cell activation","5/94","156/18723",0.00113881127661207,0.0146983845713005,0.0115714836518863,"HLA-DRA/CD86/RSAD2/MYB/BCL11B",5
"GO:0002275","BP","GO:0002275","myeloid cell activation involved in immune response","4/94","91/18723",0.00114070508042223,0.0146983845713005,0.0115714836518863,"ITGB2/TYROBP/FCER1G/TREM2",4
"GO:0051250","BP","GO:0051250","negative regulation of lymphocyte activation","5/94","157/18723",0.00117166546059775,0.0148142451674328,0.0116626963281868,"MNDA/TYROBP/LAPTM5/FCGR2B/CD86",5
"GO:1902107","BP","GO:1902107","positive regulation of leukocyte differentiation","5/94","157/18723",0.00117166546059775,0.0148142451674328,0.0116626963281868,"TYROBP/HLA-DRA/CD86/TREM2/MYB",5
"GO:1903708","BP","GO:1903708","positive regulation of hemopoiesis","5/94","157/18723",0.00117166546059775,0.0148142451674328,0.0116626963281868,"TYROBP/HLA-DRA/CD86/TREM2/MYB",5
"GO:0007520","BP","GO:0007520","myoblast fusion","3/94","42/18723",0.00122084433432415,0.0153401744617252,0.0120767406200225,"CD53/CXCL10/CXCL9",3
"GO:0002690","BP","GO:0002690","positive regulation of leukocyte chemotaxis","4/94","94/18723",0.00128673937365016,0.0159361370910082,0.0125459195143718,"CXCL10/CCL4/C5AR1/DAPK2",4
"GO:0030316","BP","GO:0030316","osteoclast differentiation","4/94","94/18723",0.00128673937365016,0.0159361370910082,0.0125459195143718,"MAFB/TYROBP/TREM2/TNFRSF11A",4
"GO:0051235","BP","GO:0051235","maintenance of location","7/94","327/18723",0.00129866459813041,0.0159361370910082,0.0125459195143718,"S100A8/SRGN/CXCL10/CXCL11/CXCL9/TREM2/LIME1",7
"GO:0014002","BP","GO:0014002","astrocyte development","3/94","43/18723",0.00130766127390379,0.0159361370910082,0.0125459195143718,"S100A8/C5AR1/TREM2",3
"GO:0140353","BP","GO:0140353","lipid export from cell","3/94","43/18723",0.00130766127390379,0.0159361370910082,0.0125459195143718,"MYB/TNFRSF11A/REN",3
"GO:0048102","BP","GO:0048102","autophagic cell death","2/94","11/18723",0.00133179829956961,0.0161331015570618,0.0127009822076824,"LAPTM5/TREM2",2
"GO:0042554","BP","GO:0042554","superoxide anion generation","3/94","44/18723",0.00139826962490313,0.0168374967332086,0.0132555259553787,"NCF2/ITGB2/TYROBP",3
"GO:0002700","BP","GO:0002700","regulation of production of molecular mediator of immune response","5/94","164/18723",0.00142168265697975,0.0170181302666866,0.0133977319215844,"LAPTM5/FCGR2B/CD86/RSAD2/TRPM4",5
"GO:1901216","BP","GO:1901216","positive regulation of neuron death","4/94","97/18723",0.00144537571935832,0.017199971060364,0.013540888318199,"ITGB2/TYROBP/FCGR2B/MYB",4
"GO:0042113","BP","GO:0042113","B cell activation","7/94","334/18723",0.00146622630670481,0.0173460574179171,0.0136558965961488,"MNDA/TYROBP/LAPTM5/FCGR2B/CD86/SLAMF8/ZFP36L2",7
"GO:0002367","BP","GO:0002367","cytokine production involved in immune response","4/94","98/18723",0.00150115201351649,0.0176559914147898,0.0138998959391092,"LAPTM5/TREM1/RSAD2/TRPM4",4
"GO:0002444","BP","GO:0002444","myeloid leukocyte mediated immunity","4/94","99/18723",0.00155841163004646,0.0180404779296094,0.0142025876668309,"ITGB2/TYROBP/TREM1/FCGR2B",4
"GO:0002706","BP","GO:0002706","regulation of lymphocyte mediated immunity","5/94","168/18723",0.00158110563696229,0.0180404779296094,0.0142025876668309,"HLA-DRA/FCGR2B/RSAD2/TREM2/TRPM4",5
"GO:0002822","BP","GO:0002822","regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains","5/94","168/18723",0.00158110563696229,0.0180404779296094,0.0142025876668309,"HLA-DRA/FCGR2B/RSAD2/TREM2/TRPM4",5
"GO:0032490","BP","GO:0032490","detection of molecule of bacterial origin","2/94","12/18723",0.00159293965034871,0.0180404779296094,0.0142025876668309,"LY96/TREM2",2
"GO:0140052","BP","GO:0140052","cellular response to oxidised low-density lipoprotein particle stimulus","2/94","12/18723",0.00159293965034871,0.0180404779296094,0.0142025876668309,"TREM2/SMPD3",2
"GO:1902563","BP","GO:1902563","regulation of neutrophil activation","2/94","12/18723",0.00159293965034871,0.0180404779296094,0.0142025876668309,"ITGB2/FCGR2B",2
"GO:0045785","BP","GO:0045785","positive regulation of cell adhesion","8/94","437/18723",0.00159626571893232,0.0180404779296094,0.0142025876668309,"ITGB2/HLA-DPB1/HLA-DRA/HLA-DPA1/CD86/HLA-DQA1/MYB/EPHA1",8
"GO:0010522","BP","GO:0010522","regulation of calcium ion transport into cytosol","4/94","102/18723",0.00173929709727183,0.0194397681092868,0.0153041960347326,"CXCL10/CXCL11/CXCL9/LIME1",4
"GO:0035710","BP","GO:0035710","CD4-positive, alpha-beta T cell activation","4/94","102/18723",0.00173929709727183,0.0194397681092868,0.0153041960347326,"HLA-DRA/CD86/RSAD2/MYB",4
"GO:0002673","BP","GO:0002673","regulation of acute inflammatory response","3/94","48/18723",0.00179981618493109,0.0199356139759457,0.01569455677894,"ALOX5AP/FCGR2B/TNFRSF11A",3
"GO:0051924","BP","GO:0051924","regulation of calcium ion transport","6/94","255/18723",0.00180336992466538,0.0199356139759457,0.01569455677894,"CXCL10/CXCL11/CXCL9/CCL4/LIME1/EPB41",6
"GO:0007200","BP","GO:0007200","phospholipase C-activating G protein-coupled receptor signaling pathway","4/94","104/18723",0.00186768221269087,0.020299456967709,0.0159809966397709,"FPR3/C5AR1/FPR1/P2RY2",4
"GO:0019755","BP","GO:0019755","one-carbon compound transport","2/94","13/18723",0.0018764203919731,0.020299456967709,0.0159809966397709,"AQP9/UPK3A",2
"GO:0032494","BP","GO:0032494","response to peptidoglycan","2/94","13/18723",0.0018764203919731,0.020299456967709,0.0159809966397709,"C5AR1/TREM2",2
"GO:0070486","BP","GO:0070486","leukocyte aggregation","2/94","13/18723",0.0018764203919731,0.020299456967709,0.0159809966397709,"S100A8/MSN",2
"GO:0042742","BP","GO:0042742","defense response to bacterium","7/94","350/18723",0.00191276819364584,0.0205826066794975,0.0162039097255663,"S100A8/FCER1G/TREM1/C5AR1/SLAMF8/TREM2/CCL20",7
"GO:0050728","BP","GO:0050728","negative regulation of inflammatory response","5/94","176/18723",0.00193891548736669,0.0207535768832953,0.01633850811688,"TNFAIP6/FCGR2B/SLAMF8/TREM2/SMPDL3B",5
"GO:0046638","BP","GO:0046638","positive regulation of alpha-beta T cell differentiation","3/94","50/18723",0.00202486433798701,0.0215594766091985,0.0169729625671709,"HLA-DRA/CD86/MYB",3
"GO:0043370","BP","GO:0043370","regulation of CD4-positive, alpha-beta T cell differentiation","3/94","51/18723",0.00214365094189323,0.0227047426986911,0.017874587352353,"HLA-DRA/CD86/MYB",3
"GO:0002456","BP","GO:0002456","T cell mediated immunity","4/94","109/18723",0.00221712047472945,0.0233605975019671,0.0183909170957547,"HLA-DRA/FCGR2B/RSAD2/TRPM4",4
"GO:0043277","BP","GO:0043277","apoptotic cell clearance","3/94","52/18723",0.00226668342996469,0.0237590703565729,0.0187046197411322,"TYROBP/MARCO/TREM2",3
"GO:0002819","BP","GO:0002819","regulation of adaptive immune response","5/94","183/18723",0.00229776688698568,0.0239607340843919,0.0188633819859432,"HLA-DRA/FCGR2B/RSAD2/TREM2/TRPM4",5
"GO:0051251","BP","GO:0051251","positive regulation of lymphocyte activation","7/94","362/18723",0.00231202246514346,0.0239857510101806,0.0188830768678114,"TYROBP/HLA-DPB1/HLA-DRA/HLA-DPA1/CD86/HLA-DQA1/MYB",7
"GO:0033674","BP","GO:0033674","positive regulation of kinase activity","8/94","467/18723",0.0024132551397097,0.0249082405491466,0.0196093180793812,"LCP2/CHI3L1/CD86/TREM2/TNFRSF11A/TRAF4/CCND2/EPHA1",8
"GO:1901222","BP","GO:1901222","regulation of NIK/NF-kappaB signaling","4/94","112/18723",0.00244712072281481,0.0249242690957951,0.0196219367494539,"LAPTM5/CD86/TREM2/LIME1",4
"GO:0009615","BP","GO:0009615","response to virus","7/94","367/18723",0.00249622175634219,0.0249242690957951,0.0196219367494539,"GBP1/CCL8/CXCL10/CXCL9/IFI44L/CCL4/RSAD2",7
"GO:0002468","BP","GO:0002468","dendritic cell antigen processing and presentation","2/94","15/18723",0.00250949741333853,0.0249242690957951,0.0196219367494539,"HLA-DRA/FCGR2B",2
"GO:0002679","BP","GO:0002679","respiratory burst involved in defense response","2/94","15/18723",0.00250949741333853,0.0249242690957951,0.0196219367494539,"SLAMF8/TREM2",2
"GO:0006684","BP","GO:0006684","sphingomyelin metabolic process","2/94","15/18723",0.00250949741333853,0.0249242690957951,0.0196219367494539,"SMPD3/SMPDL3B",2
"GO:0023035","BP","GO:0023035","CD40 signaling pathway","2/94","15/18723",0.00250949741333853,0.0249242690957951,0.0196219367494539,"CD86/TREM2",2
"GO:1901741","BP","GO:1901741","positive regulation of myoblast fusion","2/94","15/18723",0.00250949741333853,0.0249242690957951,0.0196219367494539,"CD53/CXCL9",2
"GO:0002695","BP","GO:0002695","negative regulation of leukocyte activation","5/94","187/18723",0.0025233362181737,0.0249242690957951,0.0196219367494539,"MNDA/TYROBP/LAPTM5/FCGR2B/CD86",5
"GO:0010524","BP","GO:0010524","positive regulation of calcium ion transport into cytosol","3/94","54/18723",0.00252569212290558,0.0249242690957951,0.0196219367494539,"CXCL10/CXCL11/CXCL9",3
"GO:0043270","BP","GO:0043270","positive regulation of ion transport","6/94","275/18723",0.00263082798846813,0.0258357525275293,0.0203395132680239,"CXCL10/CXCL11/CXCL9/CCL4/TREM2/TNFRSF11A",6
"GO:1905517","BP","GO:1905517","macrophage migration","3/94","55/18723",0.00266176867797754,0.0260133238432297,0.0204793084657005,"C5AR1/SLAMF8/TREM2",3
"GO:0051209","BP","GO:0051209","release of sequestered calcium ion into cytosol","4/94","115/18723",0.0026930363592786,0.0261923680520221,0.0206202632165411,"CXCL10/CXCL11/CXCL9/LIME1",4
"GO:0031349","BP","GO:0031349","positive regulation of defense response","6/94","278/18723",0.00277608735417544,0.0267407377034687,0.0210519739549643,"S100A8/MNDA/TYROBP/ALOX5AP/TREM2/TNFRSF11A",6
"GO:0051283","BP","GO:0051283","negative regulation of sequestering of calcium ion","4/94","116/18723",0.00277863767605124,0.0267407377034687,0.0210519739549643,"CXCL10/CXCL11/CXCL9/LIME1",4
"GO:0002886","BP","GO:0002886","regulation of myeloid leukocyte mediated immunity","3/94","56/18723",0.00280229184040304,0.0267407377034687,0.0210519739549643,"ITGB2/TYROBP/FCGR2B",3
"GO:1904645","BP","GO:1904645","response to amyloid-beta","3/94","56/18723",0.00280229184040304,0.0267407377034687,0.0210519739549643,"FCGR2B/MMP9/TREM2",3
"GO:0002830","BP","GO:0002830","positive regulation of type 2 immune response","2/94","16/18723",0.0028586465275236,0.0271504315736162,0.0213745104825461,"CD86/RSAD2",2
"GO:0051282","BP","GO:0051282","regulation of sequestering of calcium ion","4/94","118/18723",0.00295540259081806,0.0278158001958467,0.021898330096686,"CXCL10/CXCL11/CXCL9/LIME1",4
"GO:0002285","BP","GO:0002285","lymphocyte activation involved in immune response","5/94","194/18723",0.0029562021958018,0.0278158001958467,0.021898330096686,"FCER1G/HLA-DRA/FCGR2B/CD86/MYB",5
"GO:1903532","BP","GO:1903532","positive regulation of secretion by cell","6/94","282/18723",0.00297903759834584,0.0279008938030261,0.0219653210833199,"ITGB2/TREM2/MYB/TRPM4/SMPD3/TNFRSF11A",6
"GO:0033151","BP","GO:0033151","V(D)J recombination","2/94","17/18723",0.00322924068004718,0.0300178697209767,0.0236319363570714,"TCF7/BCL11B",2
"GO:0002224","BP","GO:0002224","toll-like receptor signaling pathway","4/94","121/18723",0.00323474819534005,0.0300178697209767,0.0236319363570714,"LY96/RSAD2/TREM2/SMPDL3B",4
"GO:0019730","BP","GO:0019730","antimicrobial humoral response","4/94","122/18723",0.00333172699391615,0.0304981163289248,0.0240100163934038,"CXCL10/CXCL11/CXCL9/CXCL5",4
"GO:0051208","BP","GO:0051208","sequestering of calcium ion","4/94","122/18723",0.00333172699391615,0.0304981163289248,0.0240100163934038,"CXCL10/CXCL11/CXCL9/LIME1",4
"GO:0051928","BP","GO:0051928","positive regulation of calcium ion transport","4/94","122/18723",0.00333172699391615,0.0304981163289248,0.0240100163934038,"CXCL10/CXCL11/CXCL9/CCL4",4
"GO:0001909","BP","GO:0001909","leukocyte mediated cytotoxicity","4/94","124/18723",0.00353159500717789,0.032182057205049,0.0253357195156953,"TYROBP/HLA-DRA/TREM1/FCGR2B",4
"GO:0002923","BP","GO:0002923","regulation of humoral immune response mediated by circulating immunoglobulin","2/94","18/18723",0.00362106039175819,0.0323904778847726,0.0254998012538236,"FCGR2B/TREM2",2
"GO:0007250","BP","GO:0007250","activation of NF-kappaB-inducing kinase activity","2/94","18/18723",0.00362106039175819,0.0323904778847726,0.0254998012538236,"CHI3L1/TRAF4",2
"GO:0071318","BP","GO:0071318","cellular response to ATP","2/94","18/18723",0.00362106039175819,0.0323904778847726,0.0254998012538236,"TRPM4/P2RY2",2
"GO:1902683","BP","GO:1902683","regulation of receptor localization to synapse","2/94","18/18723",0.00362106039175819,0.0323904778847726,0.0254998012538236,"TYROBP/GPC4",2
"GO:1904375","BP","GO:1904375","regulation of protein localization to cell periphery","4/94","125/18723",0.00363452223422807,0.0323904778847726,0.0254998012538236,"GBP1/TREM2/GPC4/EPB41",4
"GO:0032613","BP","GO:0032613","interleukin-10 production","3/94","62/18723",0.00374140041262088,0.0327655975529525,0.0257951188165659,"TYROBP/FCGR2B/TREM2",3
"GO:0032623","BP","GO:0032623","interleukin-2 production","3/94","62/18723",0.00374140041262088,0.0327655975529525,0.0257951188165659,"LAPTM5/GBP1/CD86",3
"GO:0032653","BP","GO:0032653","regulation of interleukin-10 production","3/94","62/18723",0.00374140041262088,0.0327655975529525,0.0257951188165659,"TYROBP/FCGR2B/TREM2",3
"GO:0032663","BP","GO:0032663","regulation of interleukin-2 production","3/94","62/18723",0.00374140041262088,0.0327655975529525,0.0257951188165659,"LAPTM5/GBP1/CD86",3
"GO:0006911","BP","GO:0006911","phagocytosis, engulfment","4/94","127/18723",0.00384645743252626,0.0335404456293131,0.0264051274746472,"ITGB2/MARCO/FCGR2B/TREM2",4
"GO:0050854","BP","GO:0050854","regulation of antigen receptor-mediated signaling pathway","3/94","63/18723",0.00391432403341983,0.0339857404275035,0.0267556912697728,"LAPTM5/GBP1/FCGR2B",3
"GO:0002573","BP","GO:0002573","myeloid leukocyte differentiation","5/94","208/18723",0.00397932103676448,0.0344024207580109,0.0270837279740201,"MAFB/TYROBP/MMP9/TREM2/TNFRSF11A",5
"GO:0002281","BP","GO:0002281","macrophage activation involved in immune response","2/94","19/18723",0.0040338878059236,0.0344327216514069,0.027107582724239,"TYROBP/TREM2",2
"GO:0002523","BP","GO:0002523","leukocyte migration involved in inflammatory response","2/94","19/18723",0.0040338878059236,0.0344327216514069,0.027107582724239,"S100A8/SLAMF8",2
"GO:0002888","BP","GO:0002888","positive regulation of myeloid leukocyte mediated immunity","2/94","19/18723",0.0040338878059236,0.0344327216514069,0.027107582724239,"ITGB2/TYROBP",2
"GO:0030888","BP","GO:0030888","regulation of B cell proliferation","3/94","64/18723",0.00409204632799295,0.0345459272649341,0.0271967052328981,"MNDA/TYROBP/FCGR2B",3
"GO:0045670","BP","GO:0045670","regulation of osteoclast differentiation","3/94","64/18723",0.00409204632799295,0.0345459272649341,0.0271967052328981,"MAFB/TYROBP/TREM2",3
"GO:0042886","BP","GO:0042886","amide transport","6/94","301/18723",0.00409837990290864,0.0345459272649341,0.0271967052328981,"S100A8/AQP9/TRPM4/SMPD3/ICA1/UPK3A",6
"GO:0071677","BP","GO:0071677","positive regulation of mononuclear cell migration","3/94","65/18723",0.00427460688788929,0.0358818661170126,0.0282484394906158,"CXCL10/CCL4/CCL20",3
"GO:0046683","BP","GO:0046683","response to organophosphorus","4/94","131/18723",0.00429517256944082,0.0359055128428875,0.028267055665785,"AQP9/TRPM4/P2RY2/REN",4
"GO:0010959","BP","GO:0010959","regulation of metal ion transport","7/94","406/18723",0.0043497538934819,0.0362121486687815,0.0285084584831628,"CXCL10/CXCL11/CXCL9/CCL4/TREM2/LIME1/EPB41",7
"GO:0042093","BP","GO:0042093","T-helper cell differentiation","3/94","66/18723",0.00446204435844424,0.0365901457858053,0.0288060413528233,"HLA-DRA/CD86/MYB",3
"GO:0050766","BP","GO:0050766","positive regulation of phagocytosis","3/94","66/18723",0.00446204435844424,0.0365901457858053,0.0288060413528233,"FCER1G/FCGR2B/TREM2",3
"GO:0002577","BP","GO:0002577","regulation of antigen processing and presentation","2/94","20/18723",0.0044675066777528,0.0365901457858053,0.0288060413528233,"FCGR2B/TREM2",2
"GO:0032930","BP","GO:0032930","positive regulation of superoxide anion generation","2/94","20/18723",0.0044675066777528,0.0365901457858053,0.0288060413528233,"ITGB2/TYROBP",2
"GO:0046635","BP","GO:0046635","positive regulation of alpha-beta T cell activation","3/94","67/18723",0.00465439644912176,0.0378146346047121,0.0297700352040635,"HLA-DRA/CD86/MYB",3
"GO:2000514","BP","GO:2000514","regulation of CD4-positive, alpha-beta T cell activation","3/94","67/18723",0.00465439644912176,0.0378146346047121,0.0297700352040635,"HLA-DRA/CD86/MYB",3
"GO:0045088","BP","GO:0045088","regulation of innate immune response","5/94","218/18723",0.0048505616485558,0.0388929839153939,0.0306189789338351,"MNDA/TYROBP/FCGR2B/SLAMF8/TREM2",5
"GO:0002294","BP","GO:0002294","CD4-positive, alpha-beta T cell differentiation involved in immune response","3/94","68/18723",0.00485169994376956,0.0388929839153939,0.0306189789338351,"HLA-DRA/CD86/MYB",3
"GO:0046637","BP","GO:0046637","regulation of alpha-beta T cell differentiation","3/94","68/18723",0.00485169994376956,0.0388929839153939,0.0306189789338351,"HLA-DRA/CD86/MYB",3
"GO:0070588","BP","GO:0070588","calcium ion transmembrane transport","6/94","312/18723",0.00487434508653291,0.0388929839153939,0.0306189789338351,"CXCL10/CXCL11/CXCL9/TRPM4/TRPM6/LIME1",6
"GO:0099024","BP","GO:0099024","plasma membrane invagination","4/94","136/18723",0.00490416166283605,0.0388929839153939,0.0306189789338351,"ITGB2/MARCO/FCGR2B/TREM2",4
"GO:0030502","BP","GO:0030502","negative regulation of bone mineralization","2/94","21/18723",0.00492170236398459,0.0388929839153939,0.0306189789338351,"SRGN/TRPM4",2
"GO:0097062","BP","GO:0097062","dendritic spine maintenance","2/94","21/18723",0.00492170236398459,0.0388929839153939,0.0306189789338351,"FCGR2B/TREM2",2
